country;PopulationTotal
GR;1236443
RU;144342397
GE;82348669
UK;65611593
FR;66724104
IT;60627498
SP;46484062
UKR;45004673
PO;37970087
RO;19702267
NE;17030314
BE;11331422
CZR;10566332
POR;10325452
SWE;9923085
HUN;9814023
BE;9469379
AU;8736668
SE;3672802
SWI;8373338
BU;7127822
DE;5728010
FI;5495303
NO;5234519
IR;4755335
CR;4174349
MO;2803186
BOE;3480986
AL;2876101
LI;2868231
NOM;2072490
SLO;2065042
LAT;1959537
EST;1315790
MO;622303
LUX;582014
MAL;455356
IC;335439
AND;72540
MON;37071
LIE;37609
SANMA;33834
