country;male;Population Female;physicians;refugee
GR;2273553;1037111;62149;BAD
RU;66964302;77378095;39777;VERY BAD
GE;40598245;41750423;41944;GOOD
UK;32340918;33270675;27563;GOOD
FR;32271469;34452635;32206;GOOD
IT;29433527;31193971;39504;GOOD
SP;22821680;23662382;38112;GOOD
UKR;20840806;24163867;0;VERY BAD
PO;18375539;19594548;24146;VERY BAD
RO;9541664;10160603;22565;VERY BAD
NE;8447999;8582315;3547;GOOD
BE;5576976;5754446;30679;GOOD
CZR;5195724;5370608;40194;VERY BAD
POR;4891543;5433909;49397;GOOD
SWE;4973853;4949232;42707;GOOD
HUN;4681743;5132281;4736;VERY BAD
BE;4377765;5091613;43954;VERY BAD
AU;4292559;4444108;0;GOOD
SE;7058322;3385520;0;VERY BAD
SWI;4147577;4225760;42473;GOOD
BU;3455141;3672681;0;BAD
DE;2845175;2882835;40099;GOOD
FI;2706934;2788369;45343;GOOD
NO;2636304;2598214;45679;GOOD
IR;2353419;2401916;32323;GOOD
CR;2021957;2152392;32087;VERY BAD
MO;1333190;1469996;0;VERY BAD
BOE;1706069;1774917;0;VERY BAD
AL;1442176;1433925;12164;VERY BAD
LI;1330868;1537363;44338;GOOD
NOM;1034319;1038171;0;VERY BAD
SLO;1026841;1038201;30007;GOOD
LAT;899402;1060135;31885;BAD
EST;617086;698703;34546;BAD
MO;303492;318810;25761;BAD
LUX;292233;289781;29052;GOOD
MAL;231198;224158;0;GOOD
IC;169141;166298;38892;GOOD
AND;36628;35913;0;GOOD
MON;18187;18884;0;GOOD
LIE;18663;18947;0;GOOD
SANMA;16453;17381;0;GOOD
